zip,pop
10001,22924
10002,74993
10003,54682
10004,3028
10005,8831
10006,3454
10007,7023
10009,57925
10010,33730
10011,50472
10012,23411
10013,28709
10014,30738
10016,51057
10017,15801
10018,9687
10019,43703
10021,46215
10022,31125
10023,62435
10024,59001
10025,92805
10026,39363
10027,64548
10028,47793
10029,79597
10030,29882
10031,60254
10032,64264
10033,59607
10034,42910
10035,35743
10036,27428
10037,21139
10038,22800
10039,27726
10040,44571
10044,11682
10065,28109
10069,5085
10075,21556
10128,59256
10280,9384
10282,5593
10301,38733
10302,18204
10303,25947
10304,41064
10305,42298
10306,53142
10307,15232
10308,30186
10309,33531
10310,23262
10312,61741
10314,90761
10451,47798
10452,76078
10453,79606
10454,38203
10455,42283
10456,94218
10457,74554
10458,83960
10459,48351
10460,59505
10461,50348
10462,76756
10463,71360
10464,4434
10465,44205
10466,72479
10467,103732
10468,78647
10469,73870
10470,15432
10471,21896
10472,68796
10473,59609
10474,12127
10475,43208
11001,27867
11004,15234
11005,1749
11040,41877
11096,8311
11101,30043
11102,30800
11103,36140
11104,26119
11105,37382
11106,38363
11109,5981
11201,62823
11203,75451
11204,76978
11205,46064
11206,88349
11207,91972
11208,98660
11209,67809
11210,67040
11211,102624
11212,76527
11213,66295
11214,92946
11215,70156
11216,56308
11217,41407
11218,74508
11219,90036
11220,95643
11221,83835
11222,36492
11223,81789
11224,46707
11225,58882
11226,100277
11228,44994
11229,83615
11230,89075
11231,37845
11232,27602
11233,76819
11234,95666
11235,78128
11236,100331
11237,49310
11238,54540
11239,13244
11354,55200
11355,80853
11356,23362
11357,39902
11358,37190
11359,0
11360,19621
11361,27246
11362,18721
11363,6952
11364,36806
11365,44983
11366,14650
11367,41824
11368,112425
11369,34118
11370,32514
11371,0
11372,61844
11373,93967
11374,42653
11375,73488
11377,86421
11378,37279
11379,37851
11385,106717
11411,20759
11412,37458
11413,42443
11414,29219
11415,19372
11416,27125
11417,31927
11418,38517
11419,49618
11420,48489
11421,41002
11422,32082
11423,31400
11426,20801
11427,24037
11428,18929
11429,27403
11430,198
11432,62053
11433,36489
11434,65791
11435,59296
11436,20077
11691,67094
11692,20991
11693,12919
11694,21354
11697,3540
