,2020
Copenhagen,632 340
Frederiksberg,104 305
Dragør,14 494
Tårnby,42 989
Albertslund,27 731
Ballerup,48 602
Brøndby,35 090
Gentofte,74 830
Gladsaxe,69 262
Glostrup,23 128
Herlev,28 953
Hvidovre,53 527
Høje-Taastrup,50 759
Ishøj,22 989
Lyngby-Taarbæk,56 214
Rødovre,40 652
Vallensbæk,16 633
Allerød,25 633
Egedal,43 354
Fredensborg,40 865
Frederikssund,45 223
Furesø,40 965
Gribskov,41 048
Halsnæs,31 384
Helsingør,62 695
Hillerød,51 183
Hørsholm,24 864
Rudersdal,56 728
Bornholm,39 499
Christiansø,84
Greve,50 558
Køge,60 979
Lejre,27 996
Roskilde,87 914
Solrød,23 255
Faxe,36 576
Guldborgsund,60 722
Holbæk,71 541
Kalundborg,48 436
Lolland,41 105
Næstved,83 143
Odsherred,32 957
Ringsted,34 852
Slagelse,79 073
Sorø,29 881
Stevns,22 805
Vordingborg,45 566
Assens,40 965
Faaborg-Midtfyn,51 556
Kerteminde,23 812
Langeland,12 491
Middelfart,38 853
Nordfyns,29 665
Nyborg,32 009
Odense,204 895
Svendborg,58 296
Ærø,5 964
Billund,26 608
Esbjerg,115 483
Fanø,3 488
Fredericia,51 377
Haderslev,55 670
Kolding,93 175
Sønderborg,74 220
Tønder,37 366
Varde,49 961
Vejen,42 742
Vejle,115 748
Aabenraa,58 761
Favrskov,48 397
Hedensted,46 722
Horsens,90 966
Norddjurs,37 089
Odder,22 844
Randers,97 805
Samsø,3 657
Silkeborg,94 026
Skanderborg,62 678
Syddjurs,42 962
Aarhus,349 983
Herning,89 127
Holstebro,58 591
Ikast-Brande,41 369
Lemvig,19 722
Ringkøbing-Skjern,56 594
Skive,45 851
Struer,21 036
Viborg,96 921
Brønderslev,36 304
Frederikshavn,59 654
Hjørring,64 483
Jammerbugt,38 324
Læsø,1 786
Mariagerfjord,41 800
Morsø,20 247
Rebild,30 113
Thisted,43 423
Vesthimmerlands,36 727
Aalborg,217 075
