code,name,pop
ZH,Zürich,1520968
BE,Bern,1034977
LU,Luzern,409557
UR,Uri,36433
SZ,Schwyz,159165
OW,Obwalden,37841
NW,Nidwalden,43223
GL,Glarus,40403
ZG,Zug,126837
FR,Fribourg,318714
SO,Solothurn,273194
BS,Basel-Stadt,200298
BL,Basel-Landschaft,290765
SH,Schaffhausen,81991
AR,Appenzell Ausserrhoden,55234
AI,Appenzell Innerrhoden,16145
SG,St. Gallen,507697
GR,Graubünden; Grisons,198379
AG,Aargau,678207
TG,Thurgau,276472
TI,Ticino,353343
VD,Vaud,799145
VS,Valais,343955
NE,Neuchâtel,176850
GE,Geneva,499480
JU,Jura,73419
FL,Liechtenstein,38378
